model,error_category,subrule,normalised_annotated_text,annotated_text,filename_stem,annotation_id,reviewer_name,archive
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,desta,AGI_PATRONATO_182_R3_01,57,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,desta,AGI_PATRONATO_182_R3_01,58,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,desta,AGN_RealesCedDup_v030_exp874,693,Alba,agn_realesceddup
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,desta,AGN_RealesCedDup_v030_exp874,694,Alba,agn_realesceddup
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,desta,AGN_RealesCedDup_v030_exp874,695,Alba,agn_realesceddup
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,deSta,AGN_RealesCedDup_v030_exp874,696,Alba,agn_realesceddup
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,desta,BnF_112_25,2703,Paco,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,desta,BnF_116_02,2829,Paco,bnf_116
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,desta,BnF_116_02,2830,Paco,bnf_116
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",deste,deste,AGI_PATRONATO_182_R3_01,36,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",deste,deste,AGI_PATRONATO_182_R3_01,37,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",deste,deste,AGI_PATRONATO_182_R3_01,38,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",deste,deste,AGI_PATRONATO_182_R3_01,39,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",deste,deste,AGI_PATRONATO_182_R3_01,40,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",deste,deste,BnF_032_36,3138,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",deste,deste,BnF_104_2,3150,Paco,bnf_104
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",que está,que está,BnF_116_08,455,Adriana,bnf_116
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",que está,que está,utblac_eog_j_04_duplicated_02,6077,Arturo,utblac_eog
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,anto,anto,AGN_GralParte_v006_exp617_01,396,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,anto,anto,BnF_104_2,2654,Paco,bnf_104
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,anto,anto,BnF_104_2,2655,Paco,bnf_104
Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,anto,Anto,AGI_CONTRATACION_1089_N8_151,2173,Paco,agi_contratacion
Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,anto,Anto,AGN_HospJesus_c205_exp041_04,4967,Flor,agn_hospjesus
Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,anto,Anto,BnF_243_16,1283,Rodrigo,bnf_243
Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,anto,Anto,BnF_243_16,1284,Rodrigo,bnf_243
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,ao,ao,AGN_AHHacienda_v268_exp046_01,100,Adriana,agn_ahhacienda
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,ao,ao,AGN_AHHacienda_v268_exp046_01,101,Adriana,agn_ahhacienda
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,ao,ao,AGN_AHHacienda_v268_exp046_01,102,Adriana,agn_ahhacienda
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,ao,ao,BnF_032_36,2542,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,ao,ao,BnF_032_36,2543,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,aos,aos,AGN_AHHacienda_v1292_exp135,1299,Javier,agn_ahhacienda
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,aos,aos,AGN_AHHacienda_v268_exp046_01,116,Adriana,agn_ahhacienda
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,aos,aos,AGN_GralParte_v006_exp617_01,364,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,aos,aos,AGN_Indios_v019_exp354_2,475,Alba,agn_indios
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,audía,audía,AGI_GUADALAJARA_230_L2_F_45V-46V_2,81,Adriana,agi_guadalajara
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,audía,audía,BnF_116_02,3243,Paco,bnf_116
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,audía,audía,BnF_116_02,3244,Paco,bnf_116
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,ciud,Ciud,AGN_RealesCedDup_v050_exp062,1515,Paloma,agn_realesceddup
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,ciud,ciud,AGN_RealesCedDup_v050_exp062,1516,Paloma,agn_realesceddup
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,ciud,ciud,BNE_ms3047_4,1333,Javier,bne_ms3047
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,da,da,AGI_PATRONATO_182_R3_04,2242,Paco,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,da,da,BnF_075_014,978,Alba,bnf_075
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,da,da,BnF_104_2,2660,Paco,bnf_104
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,da,da,BnF_104_2,2661,Paco,bnf_104
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,da,da,BnF_112_25,2721,Paco,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,das,das,AGI_PATRONATO_182_R3_04,2229,Paco,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,das,das,BnF_112_02,5471,Arturo,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,de,de,AGI_PATRONATO_182_R3_04,2201,Paco,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,de,de,BNE_ms3047_4,1098,Javier,bne_ms3047
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,de,de,BnF_030_27,1102,Rodrigo,bnf_030
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,de,de,BnF_030_27,1105,Rodrigo,bnf_030
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,de,de,BnF_030_27,1108,Rodrigo,bnf_030
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,de,de,BnF_112_25,2741,Paco,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,del,BnF_075_014,990,Alba,bnf_075
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,del,BnF_075_014,991,Alba,bnf_075
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,del,BnF_075_014,992,Alba,bnf_075
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,del,BnF_075_014,993,Alba,bnf_075
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,del,BnF_075_014,994,Alba,bnf_075
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,del,BnF_075_014,995,Alba,bnf_075
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,del,BnF_112_25,2708,Paco,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,del,BnF_112_25,2713,Paco,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,del,BnF_112_25,2718,Paco,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGI_PATRONATO_182_R3_01,59,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGI_PATRONATO_182_R3_01,60,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGI_PATRONATO_182_R3_01,61,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGI_PATRONATO_182_R3_01,62,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGI_PATRONATO_182_R3_01,63,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGI_PATRONATO_182_R3_04,2272,Paco,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGN_AHHacienda_v1292_exp135,1350,Javier,agn_ahhacienda
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGN_GralParte_v006_exp617_01,198,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGN_GralParte_v006_exp617_01,199,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGN_GralParte_v006_exp617_01,200,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGN_GralParte_v006_exp617_01,201,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGN_GralParte_v006_exp617_01,202,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGN_Indios_v019_exp354_2,466,Alba,agn_indios
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,AGN_RealesCedDup_v050_exp062,1539,Paloma,agn_realesceddup
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_032_36,2536,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_032_36,2537,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_032_36,2538,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_111_20,5042,Flor,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_111_20,5043,Flor,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_111_20,5044,Flor,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_111_20,5045,Flor,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_112_02,5448,Arturo,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_112_02,5449,Arturo,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_113_22,1934,Paloma,bnf_113
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dha,dha,BnF_113_22,1935,Paloma,bnf_113
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhas,dhas,AGN_GralParte_v006_exp617_01,343,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhas,dhas,AGN_GralParte_v006_exp617_01,344,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhas,dhas,AGN_Indios_v019_exp354_2,436,Alba,agn_indios
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhas,dhas,BnF_112_02,5517,Arturo,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhas,dhas,BnF_112_25,2693,Paco,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhas,dhas,BnF_113_22,1946,Paloma,bnf_113
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhas,dhas,BnF_113_22,1947,Paloma,bnf_113
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGI_PATRONATO_182_R3_01,99,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGI_PATRONATO_182_R3_01,100,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGI_PATRONATO_182_R3_01,101,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGI_PATRONATO_182_R3_01,102,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGI_PATRONATO_182_R3_01,103,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGI_PATRONATO_182_R3_01,104,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGI_PATRONATO_182_R3_01,105,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGN_AHHacienda_v1292_exp135,1352,Javier,agn_ahhacienda
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGN_AHHacienda_v268_exp046_01,98,Adriana,agn_ahhacienda
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGN_AHHacienda_v268_exp046_01,99,Adriana,agn_ahhacienda
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGN_GralParte_v006_exp617_01,400,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGN_GralParte_v006_exp617_01,401,Rodrigo,agn_gralparte
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,AGN_Indios_v019_exp354_2,446,Alba,agn_indios
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BNE_ms3047_4,1218,Javier,bne_ms3047
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BNE_ms3047_4,1219,Javier,bne_ms3047
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BNE_ms3047_4,1220,Javier,bne_ms3047
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BNE_ms3047_4,1221,Javier,bne_ms3047
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_032_36,2523,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_032_36,2524,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_032_36,2525,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_032_36,2526,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_032_36,2527,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_032_36,2528,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_032_36,2529,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_032_36,2530,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_111_20,5049,Flor,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_111_20,5052,Flor,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_111_20,5053,Flor,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_112_02,5442,Arturo,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_112_02,5443,Arturo,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_112_02,5444,Arturo,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dho,dho,BnF_112_02,5445,Arturo,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhos,dhos,AGI_PATRONATO_182_R3_01,127,Alba,agi_patronato
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhos,dhos,BnF_032_36,2570,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhos,dhos,BnF_032_36,2571,Paco,bnf_032
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhos,dhos,BnF_111_20,5038,Flor,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhos,dhos,BnF_111_20,5039,Flor,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dio,dio,BnF_075_014,976,Alba,bnf_075
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dio,dio,BnF_112_02,5382,Arturo,bnf_112
GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dio,dio,BnF_112_02,5383,Arturo,bnf_112
