model,filename_stem,archive,reviewer_name,annotation_id,annotated_text,normalised_annotated_text,effective_error_category,effective_subrule,start,end,modernised_context,modernised_txt_path,pre_modernisation_txt_path,distinct_annotations,affected_documents,affected_archives,affected_reviewers,cross_context_prompt_candidate
Llama 3.3 70B · 12 000 TPM,BnF_075_035,bnf_075,Arturo,5308,y,y,Cambios,Sustitución,687,688,"…dores de este dicho pueblo hoy y mañana sábado en todo el ante el dicho señor corregidor, [[y]] no tuviesen temor para les dar a entender cierto negocio que conviene a la ejecución de l…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_035_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_035/BnF_075_035_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_035,bnf_075,Arturo,5309,y,y,Cambios,Sustitución,790,791,"…temor para les dar a entender cierto negocio que conviene a la ejecución de la justicia, [[y]] que no pareciendo, se daría noticia de ello a la real audiencia para que fuesen castigado…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_035_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_035/BnF_075_035_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_035,bnf_075,Arturo,5310,y,y,Cambios,Sustitución,884,885,"…e no pareciendo, se daría noticia de ello a la real audiencia para que fuesen castigados, [[y]] se dio a entender a sus mujeres, lo cual se pregono por la dicha lengua, de manera que lo…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_035_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_035/BnF_075_035_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_035,bnf_075,Arturo,5311,y,y,Cambios,Sustitución,1009,1010,"…lo cual se pregono por la dicha lengua, de manera que lo pudieron entender algunos indios [[y]] mujeres de los dichos naturales, de que yo, el dicho escriano, doy fe que se pregono así,…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_035_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_035/BnF_075_035_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_035,bnf_075,Arturo,5312,y,y,Cambios,Sustitución,1172,1173,"…ue se pregono así, que entiendo la dicha lengua, siendo testigos de ello Diego de Arriaga [[y]] Andrés Muñoz, este en este dicho pueblo, ante mí.",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_035_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_035/BnF_075_035_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_111_21,bnf_111,Flor,5199,y,y,Cambios,Sustitución,1077,1078,"…zo, en lo cual se afirmó y ratificó, siéndole dado a entender por los dichos intérpretes, [[y]] dijo que es de edad de treinta y cinco años y que este to es natural de la estancia de Sa…",raw/evaluacion_modernizador/modernisation_reviewer_8_packet/data_ANN_export_anotations/ANN_Documents/BnF_111_21_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_8_packet/BnF_111_21/BnF_111_21_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_111_21,bnf_111,Flor,5203,y,y,Cambios,Sustitución,1349,1350,"…desverdad, y que no le tocan ninguna de las demás preguntas generales que fueron hechas, [[y]] no lo firmó porque dijo que no sabía, y firmólo el dicho intérprete español, porque el di…",raw/evaluacion_modernizador/modernisation_reviewer_8_packet/data_ANN_export_anotations/ANN_Documents/BnF_111_21_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_8_packet/BnF_111_21/BnF_111_21_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_111_21,bnf_111,Flor,5204,y,y,Cambios,Sustitución,1389,1390,"…las demás preguntas generales que fueron hechas, y no lo firmó porque dijo que no sabía, [[y]] firmólo el dicho intérprete español, porque el dicho intérprete de la lengua matlazinga y…",raw/evaluacion_modernizador/modernisation_reviewer_8_packet/data_ANN_export_anotations/ANN_Documents/BnF_111_21_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_8_packet/BnF_111_21/BnF_111_21_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_111_21,bnf_111,Flor,5207,y,y,Cambios,Sustitución,1674,1675,"…Santa María Miyauatepec, presentado en la dicha causa, y habiendo jurado según dicho es, [[y]] siendo preguntado por el tenor de la dicha real provisión, que della sabe y pasó es un do…",raw/evaluacion_modernizador/modernisation_reviewer_8_packet/data_ANN_export_anotations/ANN_Documents/BnF_111_21_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_8_packet/BnF_111_21/BnF_111_21_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1848,y,y,Cambios,Sustitución,34,35,"En la ciudad de México, en veinte [[y]] nueve días del mes de mayo de mil novecientos noventa y tres, medió un intérprete de la a…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1851,y,y,Cambios,Sustitución,269,270,"…no, y todos pareció un indio que medió el dicho intérprete, dijo llamarse Diego Francisco [[y]] ser natural de esta ciudad, a la parte de San Juan, al barrio de Moyotla, y como hijo y h…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1852,y,y,Cambios,Sustitución,345,346,"…ego Francisco y ser natural de esta ciudad, a la parte de San Juan, al barrio de Moyotla, [[y]] como hijo y heredero que dijo ser de Gaspar López y de Beatriz Papan, indios, sus padres…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1854,y,y,Cambios,Sustitución,397,398,"…te de San Juan, al barrio de Moyotla, y como hijo y heredero que dijo ser de Gaspar López [[y]] de Beatriz Papan, indios, sus padres difuntos, y otorgó su poder cumplido de derecho bast…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1855,y,y,Cambios,Sustitución,446,447,"…y heredero que dijo ser de Gaspar López y de Beatriz Papan, indios, sus padres difuntos, [[y]] otorgó su poder cumplido de derecho basto a Andrés de las Casas, vecino de esta dicha ciu…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1858,y,y,Cambios,Sustitución,611,612,"…e esta dicha ciudad, presente. Él y la gente, para que por él y en su nombre pida, reciba [[y]] cobre sus casas que él hubo y heredó por fin y muerte de los dichos sus padres, de la per…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1860,y,y,Cambios,Sustitución,658,659,"…ara que por él y en su nombre pida, reciba y cobre sus casas que él hubo y heredó por fin [[y]] muerte de los dichos sus padres, de la persona o personas que las tuvieren, y tome la pos…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1861,y,y,Cambios,Sustitución,736,737,"…edó por fin y muerte de los dichos sus padres, de la persona o personas que las tuvieren, [[y]] tome la posesión de ellas. Por cuanto, por testamento que otorgó la dicha Beatriz Papan,…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1863,y,y,Cambios,Sustitución,874,875,"…tamento que otorgó la dicha Beatriz Papan, su madre, consta que se las dejó y pertenecen, [[y]] pida, reciba y cobre los arrendamientos que hubieren rentado y renta ren de aquí adelante…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1864,y,y,Cambios,Sustitución,889,890,"…rgó la dicha Beatriz Papan, su madre, consta que se las dejó y pertenecen, y pida, reciba [[y]] cobre los arrendamientos que hubieren rentado y renta ren de aquí adelante, y las saque d…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1865,y,y,Cambios,Sustitución,937,938,"…se las dejó y pertenecen, y pida, reciba y cobre los arrendamientos que hubieren rentado [[y]] renta ren de aquí adelante, y las saque de la persona o personas que las tuvieren usurpad…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1872,y,y,Cambios,Sustitución,1233,1234,"…y pedimentos, y otros cualesquiera autos que convengan de hacer, hasta que haya cumplido [[y]] hecho el haber y cobrar las dichas casas y alquileres de ellas, y en razón de esto y lo d…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1878,y,y,Cambios,Sustitución,1416,1417,"…ellos depende, le da y otorga este dicho poder con facultad de jurar, inquirir, sostituir [[y]] con libre administración, y por lo aver, por firme y obligo su persona y bienes, y no fir…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1881,y,y,Cambios,Sustitución,1489,1490,"…uirir, sostituir y con libre administración, y por lo aver, por firme y obligo su persona [[y]] bienes, y no firmó porque dijo no saber, y firmó un testigo de este poder por él, y de su…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1882,y,y,Cambios,Sustitución,1499,1500,"…tituir y con libre administración, y por lo aver, por firme y obligo su persona y bienes, [[y]] no firmó porque dijo no saber, y firmó un testigo de este poder por él, y de su pedimento…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1883,y,y,Cambios,Sustitución,1532,1533,"…, y por lo aver, por firme y obligo su persona y bienes, y no firmó porque dijo no saber, [[y]] firmó un testigo de este poder por él, y de su pedimento, no quedó rezo, y firmó el dicho…",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1884,y,y,Cambios,Sustitución,1573,1574,"…rsona y bienes, y no firmó porque dijo no saber, y firmó un testigo de este poder por él, [[y]] de su pedimento, no quedó rezo, y firmó el dicho.",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_112_08,bnf_112,Paloma,1885,y,y,Cambios,Sustitución,1607,1608,"…dijo no saber, y firmó un testigo de este poder por él, y de su pedimento, no quedó rezo, [[y]] firmó el dicho.",intermediate/extracted_exports/reviewer_packet_7/01_ANNOTATOR_2026-07-31T23_25_28_968Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_112_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_7_packet/BnF_112_08/BnF_112_08_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_113_25,bnf_113,Flor,5324,y,y,Cambios,Sustitución,2838,2839,"…que no le toca ninguna de ellas, todo lo cual aclaró mediante José Carrillo, intérprete, [[y]] dijo que no sabía firmar, y firmó el dicho sor te y intérprete, paso ante mí",raw/evaluacion_modernizador/modernisation_reviewer_8_packet/data_ANN_export_anotations/ANN_Documents/BnF_113_25_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_8_packet/BnF_113_25/BnF_113_25_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_117_13,bnf_117,Paco,2853,y,y,Cambios,Sustitución,560,561,"…iete días del mes de octubre de mil seiscientos setenta años, ante los señores presidente [[y]] oidores del Audiencia Real de la Nueva España, estando en audiencia pública, presentó est…",intermediate/extracted_exports/reviewer_packet_2/01_ANNOTATOR_2026-08-05T15_17_51_488Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_117_13_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_2_packet/BnF_117_13/BnF_117_13_GT.txt,82,18,13,6,True
