annotated_form_rank,model,normalised_annotated_text,distinct_annotations,affected_documents,affected_archives,affected_reviewers,example_surface_forms,example_documents,archives,reviewers,most_common_error_category,most_common_subrule,most_common_rule_assignments,all_rule_assignments,cross_context_prompt_candidate,display_label
11,GPT OSS 120B · 8 000 TPM,mi,27,5,5,4,mi,BnF_104_2 | BnF_113_04 | AGI_CONTRATACION_1183_N8_78 | AGN_Indios_v009_exp003_fs4v-5_01 | BnF_030_21,bnf_104 | bnf_113 | agi_contratacion | agn_indios | bnf_030,Paco | Adriana | Arturo | Edna,Abreviaturas,No sub-rule assigned,12,Abreviaturas — No sub-rule assigned | Acentuación — No sub-rule assigned | Abreviaturas — Expansión completa | Cambios — Deleción | Cambios — Sustitución,True,mi
12,GPT OSS 120B · 8 000 TPM,do,24,9,9,7,do,AGN_AHHacienda_v1292_exp135 | BnF_032_36 | BnF_104_2 | BnF_112_02 | AGN_Tierras_v039-2_exp003_72,agn_ahhacienda | bnf_032 | bnf_104 | bnf_112 | agn_tierras,Javier | Paco | Arturo | Edna | Alba,Abreviaturas,Expansión completa,19,Abreviaturas — Expansión completa | Cambios — Sustitución | Abreviaturas — No sub-rule assigned | Cambios — Deleción | Acentuación — No sub-rule assigned | Cambios — Inserción,True,do
13,GPT OSS 120B · 8 000 TPM,del,23,6,5,5,del,BnF_112_25 | BnF_030_21 | AGN_Indios_v019_exp354_2 | BnF_075_014 | AGN_Indios_v002_exp835,bnf_112 | bnf_030 | agn_indios | bnf_075 | agi_indiferente,Paco | Edna | Alba | Paloma | Rodrigo,Cambios,Sustitución,12,"Cambios — Sustitución | Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned | Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Filológicas - mecánicas — E protética | Cambios — Deleción",True,del
14,Llama 3.3 70B · 12 000 TPM,de esta,21,9,8,4,de esta,Mechoacan_Yurirapundaro_1 | BnF_032_23 | UIA_Ms149_Exp2_51 | AGN_AHHacienda_v268_exp046_02 | BnF_032_39,mechoacan_yurirapundaro | bnf_032 | uia_ms149 | agn_ahhacienda | bnf_112,Adriana | Arturo | Paloma | Rodrigo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",21,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",True,de esta
15,Llama 3.3 70B · 12 000 TPM,juo,19,9,7,4,Juo | juo,BnF_032_33 | BnF_110_13 | Mechoacan_Yurirapundaro_1 | AGN_AHHacienda_v268_exp046_03 | BnF_032_23,bnf_032 | bnf_110 | mechoacan_yurirapundaro | agn_ahhacienda | bnf_111,Adriana | Arturo | Alba | Rodrigo,Abreviaturas,Expansión completa,18,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,juo
16,GPT OSS 120B · 8 000 TPM,puo,19,6,5,5,puo,BNE_ms3047_4 | BnF_113_04 | AGN_Indios_v019_exp354_2 | AGN_Mercedes_v003_exp520 | BnF_113_22,bne_ms3047 | bnf_113 | agn_indios | agn_mercedes | bnf_111,Javier | Paco | Alba | Paloma | Flor,Abreviaturas,Expansión completa,11,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,puo
17,Llama 3.3 70B · 12 000 TPM,dn,17,5,4,4,Dn,BnF_174_02 | BnF_243_17 | BnF_244_02 | UIA_Ms149_Exp3_04 | BnF_243_16,bnf_174 | bnf_243 | bnf_244 | uia_ms149,Javier | Edna | Alba | Rodrigo,Abreviaturas,Expansión completa,10,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,dn
18,Llama 3.3 70B · 12 000 TPM,juan,17,5,5,4,Juan,BnF_030_22 | BnF_075_003 | BnF_110_13 | BnF_174_04 | AGI_CONTRATACION_1089_N8_176,bnf_030 | bnf_075 | bnf_110 | bnf_174 | agi_contratacion,Paco | Adriana | Paloma | Flor,Cambios,Sustitución,16,Cambios — Sustitución | Abreviaturas — No sub-rule assigned,True,juan
19,GPT OSS 120B · 8 000 TPM,pos,17,3,3,3,pos,AGN_AHHacienda_v1292_exp135 | BnF_113_22 | BNE_ms3047_1,agn_ahhacienda | bnf_113 | bne_ms3047,Javier | Paloma | Rodrigo,Abreviaturas,Expansión completa,16,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,pos
20,Llama 3.3 70B · 12 000 TPM,de este,16,9,7,3,de este,BnF_032_33 | BnF_075_026 | BnF_075_035 | utblac_wbs_0912a_duplicated | AGN_AHHacienda_v268_exp046_02,bnf_032 | bnf_075 | utblac_wbs | agn_ahhacienda | agn_gralparte,Adriana | Arturo | Paloma,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",12,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Abreviaturas — Expansión completa | Filológicas - instrucciones — Regularización de labiales (b/v) | Cambios — Sustitución | Cambios — Inserción",True,de este
21,GPT OSS 120B · 8 000 TPM,dos,14,8,8,6,dos,AGN_Marina_v004_exp006_014 | BnF_104_2 | BnF_112_25 | BnF_116_02 | AGN_Indios_v009_exp003_fs4v-5_01,agn_marina | bnf_104 | bnf_112 | bnf_116 | agn_indios,Javier | Paco | Arturo | Edna | Alba,Cambios,Sustitución,9,Cambios — Sustitución | Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned | Cambios — Deleción | Puntuación — Punto (.),True,dos
22,GPT OSS 120B · 8 000 TPM,de,13,9,7,6,de,BNE_ms3047_4 | AGI_PATRONATO_182_R3_04 | BnF_112_25 | AGN_Indios_v009_exp003_fs4v-5_01 | BnF_112_02,bne_ms3047 | agi_patronato | bnf_112 | agn_indios | agn_mercedes,Javier | Paco | Arturo | Alba | Paloma,Cambios,Sustitución,8,"Cambios — Sustitución | Abreviaturas — Expansión completa | Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Deleción | Cambios — Inserción",True,de
23,Llama 3.3 70B · 12 000 TPM,del,13,6,6,5,del,BnF_266_07 | AGS_CE_RG_L379_02 | utblac_eog_j_04_duplicated_02 | BnF_174_04 | BnF_111_21,bnf_266 | ags_ce | utblac_eog | bnf_174 | bnf_111,Paco | Arturo | Paloma | Flor | Rodrigo,Cambios,Deleción,6,"Cambios — Deleción | Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Sustitución | Abreviaturas — No sub-rule assigned | Cambios — Inserción | Cambios — Otros",True,del
24,Llama 3.3 70B · 12 000 TPM,a,12,7,7,4,a,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10 | BnF_032_23 | UIA_Ms149_Exp2_51 | AGI_PATRONATO_181_R13_2 | BnF_118_03,agn_hospjesus | bnf_032 | uia_ms149 | agi_patronato | bnf_118,Arturo | Paloma | Flor | Rodrigo,Cambios,Deleción,4,"Cambios — Deleción | Filológicas - instrucciones — Regularización de H etimológica | Cambios — Otros | Cambios — Inserción | Cambios — Sustitución | Puntuación — Coma (,)",True,a
25,Llama 3.3 70B · 12 000 TPM,así,11,8,6,5,así,BnF_075_003 | BnF_110_13 | BnF_075_035 | BnF_117_03 | BnF_113_43,bnf_075 | bnf_110 | bnf_117 | bnf_113 | bnf_119-148,Adriana | Arturo | Paloma | Flor | Rodrigo,Cambios,Deleción,6,Cambios — Deleción | Cambios — No sub-rule assigned | Cambios — Sustitución,True,así
26,GPT OSS 120B · 8 000 TPM,sor,11,5,4,3,Sor | sor,AGS_CE_RG_L379_01 | AGN_RealesCedDup_v030_exp874 | AGN_RealesCedDup_v050_exp062 | BnF_112_04 | BnF_113_22,ags_ce | agn_realesceddup | bnf_112 | bnf_113,Javier | Alba | Paloma,Abreviaturas,Expansión completa,9,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned | Cambios — Sustitución,True,sor
27,GPT OSS 120B · 8 000 TPM,to,11,2,2,2,to | To,AGN_AHHacienda_v1292_exp135 | BnF_111_20,agn_ahhacienda | bnf_111,Javier | Flor,Abreviaturas,Expansión completa,8,Abreviaturas — Expansión completa | Filológicas - instrucciones — Regularización de i/y vocálicas,True,to
28,GPT OSS 120B · 8 000 TPM,la,10,6,6,3,la | la  | La,BnF_112_25 | BnF_113_04 | AGN_Mercedes_v003_exp520 | AGI_INDIFERENTE_2065_N45_09 | AGN_GralParte_v006_exp617_01,bnf_112 | bnf_113 | agn_mercedes | agi_indiferente | agn_gralparte,Paco | Alba | Rodrigo,Cambios,Otros,6,"Cambios — Otros | Abreviaturas — Expansión completa | Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Deleción | Cambios — Inserción",True,la
29,GPT OSS 120B · 8 000 TPM,desta,10,4,4,2,desta | deSta,BnF_112_25 | BnF_116_02 | AGI_PATRONATO_182_R3_01 | AGN_RealesCedDup_v030_exp874,bnf_112 | bnf_116 | agi_patronato | agn_realesceddup,Paco | Alba,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",10,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Filológicas - instrucciones — Regularización de i/y vocálicas",True,desta
30,Llama 3.3 70B · 12 000 TPM,principales,10,4,2,3,principales,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10 | BnF_032_23 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,agn_hospjesus | bnf_032,Paco | Arturo | Rodrigo,Cambios,Sustitución,10,Cambios — Sustitución | Cambios — Inserción,True,principales
31,GPT OSS 120B · 8 000 TPM,el,9,7,7,4,el | El,AGN_AHHacienda_v1292_exp135 | AGN_Indios_v009_exp003_fs4v-5_01 | BnF_112_02 | AGN_Marina_v004_exp006_005 | AGI_INDIFERENTE_2065_N45_09,agn_ahhacienda | agn_indios | bnf_112 | agn_marina | agi_indiferente,Javier | Arturo | Edna | Rodrigo,Acentuación,No sub-rule assigned,4,Acentuación — No sub-rule assigned | Cambios — Sustitución | Puntuación — No sub-rule assigned,True,el
32,GPT OSS 120B · 8 000 TPM,po,9,6,5,5,Po | po,BNE_ms3047_4 | BnF_032_36 | BnF_112_25 | BnF_112_02 | AGN_Indios_v019_exp354_2,bne_ms3047 | bnf_032 | bnf_112 | agn_indios | agn_gralparte,Javier | Paco | Arturo | Alba | Rodrigo,Abreviaturas,Expansión completa,9,Abreviaturas — Expansión completa,True,po
33,GPT OSS 120B · 8 000 TPM,justa,9,4,3,3,justa,BnF_112_25 | BnF_116_02 | BnF_112_23 | BnF_111_20,bnf_112 | bnf_116 | bnf_111,Paco | Edna | Flor,Abreviaturas,Expansión completa,6,Abreviaturas — Expansión completa | Acentuación — No sub-rule assigned | Abreviaturas — No sub-rule assigned,True,justa
34,GPT OSS 120B · 8 000 TPM,quios,8,8,8,4,quios,AGN_AHHacienda_v1292_exp135 | BnF_032_36 | BnF_113_04 | AGI_GUADALAJARA_230_L2_F_45V-46V_1 | BnF_030_21,agn_ahhacienda | bnf_032 | bnf_113 | agi_guadalajara | bnf_030,Javier | Paco | Edna | Alba,Abreviaturas,Expansión completa,6,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,quios
35,Llama 3.3 70B · 12 000 TPM,seiscientos,8,8,6,6,seiscientos,BnF_117_13 | BnF_075_003 | BnF_075_035 | BnF_119-148_13 | BnF_110_09,bnf_117 | bnf_075 | bnf_119-148 | bnf_110 | bnf_118,Paco | Adriana | Arturo | Edna | Alba,Cambios,Sustitución,5,Cambios — Sustitución | Abreviaturas — No sub-rule assigned | Abreviaturas — Expansión completa | Cambios — Deleción,True,seiscientos
36,Llama 3.3 70B · 12 000 TPM,de,8,7,7,4,de,BnF_032_23 | utblac_gg_mss_g62_duplicated_11 | AGI_CONTRATACION_1089_N8_176 | BnF_119-148_16 | AGN_GralParte_v006_exp617_02,bnf_032 | utblac_gg | agi_contratacion | bnf_119-148 | agn_gralparte,Arturo | Alba | Flor | Rodrigo,Acentuación,No sub-rule assigned,4,"Acentuación — No sub-rule assigned | Cambios — Inserción | Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Sustitución",True,de
37,Llama 3.3 70B · 12 000 TPM,el,8,7,7,3,el | El,Mechoacan_Yurirapundaro_1 | AGN_Indios_v009_exp002_fs3v-4_01 | BnF_032_23 | BnF_075_026 | BnF_117_03,mechoacan_yurirapundaro | agn_indios | bnf_032 | bnf_075 | bnf_117,Adriana | Arturo | Rodrigo,Acentuación,No sub-rule assigned,4,"Acentuación — No sub-rule assigned | Cambios — Inserción | Cambios — Sustitución | Puntuación — Coma (,)",True,el
38,GPT OSS 120B · 8 000 TPM,dhas,8,6,4,6,dhas,BnF_112_25 | BnF_112_02 | BnF_112_23 | AGN_Indios_v019_exp354_2 | BnF_113_22,bnf_112 | agn_indios | bnf_113 | agn_gralparte,Paco | Arturo | Edna | Alba | Paloma,Abreviaturas,Expansión completa,7,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,dhas
39,GPT OSS 120B · 8 000 TPM,mag,8,6,4,4,mag,AGI_PATRONATO_182_R3_04 | BnF_032_36 | BnF_112_23 | AGI_PATRONATO_182_R3_01 | AGN_Mercedes_v003_exp520,agi_patronato | bnf_032 | bnf_112 | agn_mercedes,Paco | Edna | Alba | Flor,Abreviaturas,Expansión completa,7,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,mag
40,GPT OSS 120B · 8 000 TPM,dhos,8,5,5,4,dhos,BnF_032_36 | AGI_PATRONATO_182_R3_01 | AGN_Mercedes_v003_exp520 | BnF_113_22 | BnF_111_20,bnf_032 | agi_patronato | agn_mercedes | bnf_113 | bnf_111,Paco | Alba | Paloma | Flor,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,dhos
41,GPT OSS 120B · 8 000 TPM,anos,8,4,3,3,anos,BnF_032_36 | BnF_113_04 | AGI_CONTRATACION_1183_N8_78 | BnF_113_22,bnf_032 | bnf_113 | agi_contratacion,Paco | Adriana | Paloma,Filológicas - instrucciones,Regularización de la nasal palatal,6,Filológicas - instrucciones — Regularización de la nasal palatal | Filológicas - instrucciones — No sub-rule assigned,True,anos
42,GPT OSS 120B · 8 000 TPM,poco,8,3,3,3,poco,AGN_Tierras_v039-2_exp003_72 | BnF_075_014 | AGI_INDIFERENTE_2065_N45_09,agn_tierras | bnf_075 | agi_indiferente,Edna | Alba | Rodrigo,Cambios,Sustitución,5,Cambios — Sustitución | Abreviaturas — No sub-rule assigned | Abreviaturas — Expansión completa,True,poco
43,Llama 3.3 70B · 12 000 TPM,esto,8,2,2,2,esto,utblac_gg_mss_g62_duplicated_15 | BnF_111_27,utblac_gg | bnf_111,Paco | Alba,Cambios,Sustitución,7,Cambios — Sustitución | Cambios — Deleción | Abreviaturas — Expansión completa,True,esto
44,GPT OSS 120B · 8 000 TPM,dias,7,5,5,3,dias,AGI_PATRONATO_182_R3_01 | AGN_Indios_v019_exp354_2 | AGN_Mercedes_v003_exp520 | BnF_113_22 | AGN_GralParte_v006_exp617_01,agi_patronato | agn_indios | agn_mercedes | bnf_113 | agn_gralparte,Alba | Paloma | Rodrigo,Acentuación,No sub-rule assigned,7,Acentuación — No sub-rule assigned,True,dias
45,GPT OSS 120B · 8 000 TPM,mexco,7,5,4,4,mexco | Mexco,BnF_112_23 | AGN_Indios_v019_exp354_2 | AGN_RealesCedDup_v030_exp874 | AGN_RealesCedDup_v050_exp062 | AGN_GralParte_v006_exp617_01,bnf_112 | agn_indios | agn_realesceddup | agn_gralparte,Edna | Alba | Paloma | Rodrigo,Abreviaturas,No sub-rule assigned,4,Abreviaturas — No sub-rule assigned | Abreviaturas — Expansión completa,True,mexco
46,GPT OSS 120B · 8 000 TPM,rs,7,5,5,3,Rs,AGI_CONTRATACION_1091_N3_098 | AGN_AHHacienda_v1292_exp135 | AGN_Indios_v019_exp354_2 | AGN_RealesCedDup_v030_exp874 | AGN_IndiferenteVirreinal_caja4071_exp024_2,agi_contratacion | agn_ahhacienda | agn_indios | agn_realesceddup | agn_indiferentevirreinal,Javier | Alba | Paloma,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,rs
47,GPT OSS 120B · 8 000 TPM,yndio,7,5,3,4,yndio,BnF_112_02 | BnF_112_23 | BnF_112_04 | BnF_113_22 | BnF_111_20,bnf_112 | bnf_113 | bnf_111,Arturo | Edna | Paloma | Flor,Filológicas - instrucciones,Regularización de i/y vocálicas,7,Filológicas - instrucciones — Regularización de i/y vocálicas,True,yndio
48,GPT OSS 120B · 8 000 TPM,esta,7,4,4,2,esta,AGI_PATRONATO_182_R3_04 | BnF_113_04 | AGN_GralParte_v006_exp617_01 | BNE_ms3047_1,agi_patronato | bnf_113 | agn_gralparte | bne_ms3047,Paco | Rodrigo,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa | Acentuación — No sub-rule assigned | Cambios — Deleción | Cambios — Inserción | Cambios — Sustitución,True,esta
49,Llama 3.3 70B · 12 000 TPM,para,7,4,3,3,para,BP_CM_R481_071_2 | BnF_266_10 | AGI_INDIFERENTE_1529_N8_06 | BnF_266_03,bp_cm | bnf_266 | agi_indiferente,Adriana | Flor | Rodrigo,Cambios,Sustitución,6,Cambios — Sustitución | Cambios — Inserción,True,para
50,GPT OSS 120B · 8 000 TPM,deste,7,3,3,2,deste,BnF_032_36 | BnF_104_2 | AGI_PATRONATO_182_R3_01,bnf_032 | bnf_104 | agi_patronato,Paco | Alba,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",7,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",True,deste
51,GPT OSS 120B · 8 000 TPM,da,6,5,5,3,da,AGI_PATRONATO_182_R3_04 | BnF_104_2 | BnF_112_25 | BnF_075_014 | AGN_RealesCedDup_v050_exp062,agi_patronato | bnf_104 | bnf_112 | bnf_075 | agn_realesceddup,Paco | Alba | Paloma,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa | Cambios — Sustitución | Cambios — Deleción,True,da
52,GPT OSS 120B · 8 000 TPM,dixo,6,4,3,3,dixo,BnF_112_23 | BnF_112_04 | BnF_113_22 | BnF_111_20,bnf_112 | bnf_113 | bnf_111,Edna | Paloma | Flor,Filológicas - instrucciones,x sibilante → j,6,Filológicas - instrucciones — x sibilante → j | Abreviaturas — No sub-rule assigned,True,dixo
53,GPT OSS 120B · 8 000 TPM,pa,6,4,4,3,pa,BnF_032_36 | BnF_030_21 | AGN_Indios_v019_exp354_2 | AGN_Mercedes_v003_exp520,bnf_032 | bnf_030 | agn_indios | agn_mercedes,Paco | Edna | Alba,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,pa
54,GPT OSS 120B · 8 000 TPM,ay,6,3,3,3,ay,BnF_112_23 | AGN_Mercedes_v003_exp520 | BNE_ms3047_1,bnf_112 | agn_mercedes | bne_ms3047,Edna | Alba | Rodrigo,Filológicas - instrucciones,Regularización de H etimológica,6,Filológicas - instrucciones — Regularización de H etimológica,True,ay
55,Llama 3.3 70B · 12 000 TPM,escrivano,6,3,3,2,escrivano,BnF_075_003 | BnF_116_07 | AGN_AHHacienda_v268_exp046_03,bnf_075 | bnf_116 | agn_ahhacienda,Adriana | Arturo,Filológicas - instrucciones,Regularización de labiales (b/v),6,Filológicas - instrucciones — Regularización de labiales (b/v),True,escrivano
56,GPT OSS 120B · 8 000 TPM,exa,6,3,3,2,exa,AGN_Indios_v019_exp354_2 | AGN_RealesCedDup_v030_exp874 | AGN_GralParte_v006_exp617_01,agn_indios | agn_realesceddup | agn_gralparte,Alba | Rodrigo,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,exa
57,GPT OSS 120B · 8 000 TPM,ma,6,3,3,2,ma,BnF_032_36 | AGN_Mercedes_v003_exp520 | AGN_RealesCedDup_v030_exp874,bnf_032 | agn_mercedes | agn_realesceddup,Paco | Alba,Abreviaturas,No sub-rule assigned,5,Abreviaturas — No sub-rule assigned | Cambios — Inserción,True,ma
58,Llama 3.3 70B · 12 000 TPM,mi,6,3,3,3,mi,BnF_030_22 | BnF_174_03 | BnF_032_39,bnf_030 | bnf_174 | bnf_032,Paco | Arturo | Paloma,Cambios,Deleción,5,Cambios — Deleción | Cambios — Sustitución | Abreviaturas — Expansión completa | Acentuación — No sub-rule assigned,True,mi
59,Llama 3.3 70B · 12 000 TPM,p.,6,2,2,2,P.,BnF_264_03 | BnF_244_04,bnf_264 | bnf_244,Adriana | Edna,Abreviaturas,Expansión completa,6,Abreviaturas — Expansión completa,True,p.
60,Llama 3.3 70B · 12 000 TPM,que están,6,2,2,2,que están,BnF_118_08 | BnF_119-148_33,bnf_118 | bnf_119-148,Arturo | Paloma,Cambios,Inserción,4,"Cambios — Inserción | Abreviaturas — Excepciones (desto/a/os, dello/a/os)",True,que están
61,GPT OSS 120B · 8 000 TPM,a,5,5,5,3,a | A,BnF_113_22 | BnF_111_20 | AGI_INDIFERENTE_2065_N45_09 | AGN_GralParte_v006_exp617_01 | BnF_030_27,bnf_113 | bnf_111 | agi_indiferente | agn_gralparte | bnf_030,Paloma | Flor | Rodrigo,Filológicas - instrucciones,Regularización de H etimológica,5,Filológicas - instrucciones — Regularización de H etimológica | Abreviaturas — Expansión completa,True,a
62,Llama 3.3 70B · 12 000 TPM,de ellos,5,5,5,3,de ellos,BP_CM_R481_016 | BnF_075_026 | AGI_PATRONATO_181_R13_2 | AGN_GralParte_v006_exp617_02 | AGN_Inquisicion_v1568A_exp152_fs115-116v_01,bp_cm | bnf_075 | agi_patronato | agn_gralparte | agn_inquisicion,Arturo | Paloma | Rodrigo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",4,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Inserción",True,de ellos
63,Llama 3.3 70B · 12 000 TPM,esta,5,5,4,4,esta,AGI_CONTRATACION_1089_N8_151 | utblac_gg_mss_g62_duplicated_15 | AGI_INDIFERENTE_2065_N45_11 | BnF_118_03 | utblac_gg_mss_g62_duplicated_09,agi_contratacion | utblac_gg | agi_indiferente | bnf_118,Paco | Alba | Paloma | Flor,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Acentuación — No sub-rule assigned | Cambios — Inserción | Cambios — Otros | Cambios — Sustitución,True,esta
64,Llama 3.3 70B · 12 000 TPM,fue,5,4,4,4,fue | Fue,AGN_Congregaciones_v001_exp076 | AGN_GralParte_v001_exp1020_02 | BnF_118_05 | AGN_AHHacienda_v268_exp046_02,agn_congregaciones | agn_gralparte | bnf_118 | agn_ahhacienda,Javier | Edna | Alba | Paloma,Cambios,Sustitución,3,Cambios — Sustitución | Abreviaturas — No sub-rule assigned | Abreviaturas — Expansión completa | Cambios — Inserción,True,fue
