annotation_rate_rank,filename_stem,model,archive,reviewer_packet,reviewer_name,n_modernised_tokens,n_included_annotations,n_included_assignments,included_annotations_per_1000_tokens,dominant_error_category,dominant_subrule,document_family,reviewed_documents_in_family,repeated_document_family,high_annotation_count,high_annotation_rate,selected_for_review,selection_reason
62,BP_CM_R481_016,Llama 3.3 70B · 12 000 TPM,bp_cm,4,Arturo,108,11,14,101.85185185185183,Cambios,Cambios — Sustitución | Puntuación — No sub-rule assigned,BP_CM_R481_016,1,False,False,False,False,not selected
63,BnF_030_22,Llama 3.3 70B · 12 000 TPM,bnf_030,2,Paco,383,39,48,101.82767624020887,Cambios,Cambios — Sustitución,BnF_030_22,1,False,False,False,False,not selected
64,BnF_110_29,Llama 3.3 70B · 12 000 TPM,bnf_110,7,Paloma,100,10,12,100.0,Abreviaturas,Abreviaturas — Expansión completa,BnF_110_29,1,False,False,False,False,not selected
65,BnF_267_15,Llama 3.3 70B · 12 000 TPM,bnf_267,3,Adriana,232,23,23,99.13793103448276,Cambios,Cambios — Inserción,BnF_267_15,1,False,False,False,False,not selected
66,BnF_030_20,GPT OSS 120B · 8 000 TPM,bnf_030,7,Paloma,71,7,7,98.59154929577464,Cambios,Cambios — Sustitución,BnF_030_20,1,False,False,False,False,not selected
67,BnF_030_21,GPT OSS 120B · 8 000 TPM,bnf_030,5,Edna,453,44,53,97.13024282560706,Abreviaturas,Abreviaturas — No sub-rule assigned,BnF_030_21,1,False,False,False,False,not selected
68,AGI_CONTRATACION_1089_N8_176,Llama 3.3 70B · 12 000 TPM,agi_contratacion,8,Flor,206,20,24,97.08737864077668,Cambios,Acentuación — No sub-rule assigned,AGI_CONTRATACION_1089_N8_176,1,False,False,False,False,not selected
69,BnF_075_014,GPT OSS 120B · 8 000 TPM,bnf_075,6,Alba,383,37,41,96.60574412532635,Abreviaturas,Abreviaturas — Expansión completa,BnF_075_014,1,False,False,False,False,not selected
70,BnF_032_39,Llama 3.3 70B · 12 000 TPM,bnf_032,7,Paloma,242,23,35,95.0413223140496,Cambios,Cambios — Sustitución,BnF_032_39,1,False,False,False,False,not selected
71,AGN_Indios_v002_exp835,GPT OSS 120B · 8 000 TPM,agn_indios,7,Paloma,414,38,42,91.78743961352656,Cambios,Cambios — Sustitución,AGN_Indios_v002_exp835,1,False,False,False,False,not selected
72,AGN_Indios_v009_exp002_fs3v-4_01,Llama 3.3 70B · 12 000 TPM,agn_indios,4,Arturo,252,23,27,91.26984126984128,Cambios | Puntuación,"Puntuación — Coma (,)",AGN_Indios_v009_exp002_fs3v-4_01,1,False,False,False,False,not selected
73,AGI_GUADALAJARA_230_L2_F_45V-46V_2,GPT OSS 120B · 8 000 TPM,agi_guadalajara,3,Adriana,122,11,11,90.16393442622952,Abreviaturas,Abreviaturas — Expansión completa,AGI_GUADALAJARA_230_L2_F_45V-46V_2,1,False,False,False,False,not selected
74,BnF_104_3,Llama 3.3 70B · 12 000 TPM,bnf_104,6,Alba,245,22,25,89.79591836734693,Abreviaturas,Abreviaturas — Expansión completa | Cambios — Deleción,BnF_104_3,1,False,False,False,False,not selected
75,AGN_AHHacienda_v268_exp046_02,Llama 3.3 70B · 12 000 TPM,agn_ahhacienda,7,Paloma,245,22,29,89.79591836734693,Cambios,Cambios — Inserción,AGN_AHHacienda_v268_exp046_02,1,False,False,False,False,not selected
76,AGI_GUADALAJARA_230_L2_F_45V-46V_1,GPT OSS 120B · 8 000 TPM,agi_guadalajara,5,Edna,223,20,23,89.68609865470852,Abreviaturas,Abreviaturas — No sub-rule assigned,AGI_GUADALAJARA_230_L2_F_45V-46V_1,1,False,False,False,False,not selected
77,BnF_119-148_18,Llama 3.3 70B · 12 000 TPM,bnf_119-148,4,Arturo,158,14,16,88.60759493670886,Cambios,Cambios — Sustitución,BnF_119-148_18,1,False,False,False,False,not selected
78,BnF_119-148_33,Llama 3.3 70B · 12 000 TPM,bnf_119-148,7,Paloma,558,47,48,84.2293906810036,Cambios,Cambios — Inserción,BnF_119-148_33,1,False,False,False,False,not selected
79,BnF_117_03,Llama 3.3 70B · 12 000 TPM,bnf_117,4,Arturo,287,23,26,80.13937282229965,Cambios,"Cambios — Sustitución | Puntuación — Coma (,)",BnF_117_03,1,False,False,False,False,not selected
80,BnF_244_04,Llama 3.3 70B · 12 000 TPM,bnf_244,5,Edna,291,23,23,79.03780068728523,Abreviaturas,Abreviaturas — Expansión completa,BnF_244_04,1,False,False,False,False,not selected
81,BnF_264_03,Llama 3.3 70B · 12 000 TPM,bnf_264,3,Adriana,955,74,79,77.4869109947644,Abreviaturas,Abreviaturas — Expansión completa,BnF_264_03,1,False,True,False,True,highest 10% by count
82,BnF_110_33,Llama 3.3 70B · 12 000 TPM,bnf_110,6,Alba,131,10,10,76.33587786259542,Abreviaturas,Abreviaturas — No sub-rule assigned,BnF_110_33,1,False,False,False,False,not selected
83,AGN_Tierras_v039-2_exp003_41,Llama 3.3 70B · 12 000 TPM,agn_tierras,8,Flor,184,14,15,76.08695652173914,Puntuación,Puntuación — Punto (.),AGN_Tierras_v039-2_exp003_41,1,False,False,False,False,not selected
84,utblac_eog_j_04_duplicated_02,Llama 3.3 70B · 12 000 TPM,utblac_eog,4,Arturo,57,4,5,70.17543859649122,Abreviaturas | Cambios,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Sustitución",utblac_eog_j_04,1,False,False,False,False,not selected
85,BnF_118_05,Llama 3.3 70B · 12 000 TPM,bnf_118,6,Alba,245,17,18,69.38775510204081,Cambios,Cambios — Sustitución,BnF_118_05,1,False,False,False,False,not selected
86,BnF_394_05,Llama 3.3 70B · 12 000 TPM,bnf_394,8,Flor,29,2,2,68.9655172413793,Cambios,Cambios — Inserción | Cambios — Sustitución,BnF_394_05,1,False,False,False,False,not selected
87,AGS_CE_RG_L379_02,Llama 3.3 70B · 12 000 TPM,ags_ce,4,Arturo,190,13,14,68.42105263157895,Abreviaturas | Puntuación,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Abreviaturas — Expansión completa | Puntuación — Punto (.)",AGS_CE_RG_L379_02,1,False,False,False,False,not selected
88,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,Llama 3.3 70B · 12 000 TPM,agn_hospjesus,9,Rodrigo,307,21,24,68.40390879478828,Cambios,Cambios — Inserción,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,1,False,False,False,False,not selected
89,AGI_INDIFERENTE_1529_N8_06,Llama 3.3 70B · 12 000 TPM,agi_indiferente,9,Rodrigo,421,28,31,66.5083135391924,Cambios,Cambios — Inserción | Cambios — Sustitución,AGI_INDIFERENTE_1529_N8_06,1,False,False,False,False,not selected
90,AGS_CE_RG_L379_04,Llama 3.3 70B · 12 000 TPM,ags_ce,9,Rodrigo,181,12,13,66.29834254143645,Cambios,Cambios — Sustitución,AGS_CE_RG_L379_04,1,False,False,False,False,not selected
91,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,Llama 3.3 70B · 12 000 TPM,agn_hospjesus,2,Paco,317,21,24,66.24605678233439,Cambios,Cambios — Sustitución,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,1,False,False,False,False,not selected
92,BnF_116_07,Llama 3.3 70B · 12 000 TPM,bnf_116,3,Adriana,217,14,14,64.51612903225806,Abreviaturas,Abreviaturas — Expansión completa,BnF_116_07,1,False,False,False,False,not selected
93,AGN_Marina_v031A_exp02_fs85-92_15,Llama 3.3 70B · 12 000 TPM,agn_marina,2,Paco,31,2,2,64.51612903225806,Abreviaturas | Cambios,Abreviaturas — Expansión completa | Cambios — Sustitución,AGN_Marina_v031A_exp02_fs85-92_15,1,False,False,False,False,not selected
94,utblac_JGI_XXIII-13_Atlatlauhca_03,Llama 3.3 70B · 12 000 TPM,utblac_jgi,8,Flor,63,4,4,63.49206349206349,Cambios,Cambios — Deleción | Cambios — Sustitución,utblac_JGI_XXIII-13_Atlatlauhca_03,1,False,False,False,False,not selected
95,BnF_264_02,Llama 3.3 70B · 12 000 TPM,bnf_264,7,Paloma,445,28,28,62.921348314606746,Abreviaturas,Abreviaturas — No sub-rule assigned,BnF_264_02,1,False,False,False,False,not selected
96,AMP_AC_v021__doc026_2,Llama 3.3 70B · 12 000 TPM,amp_ac,6,Alba,112,7,7,62.5,Abreviaturas,Abreviaturas — No sub-rule assigned | Cambios — Inserción,AMP_AC_v021__doc026_2,1,False,False,False,False,not selected
97,Mechoacan_Yurirapundaro_1,Llama 3.3 70B · 12 000 TPM,mechoacan_yurirapundaro,3,Adriana,321,20,20,62.30529595015577,Abreviaturas | Cambios,Cambios — Inserción,Mechoacan_Yurirapundaro_1,1,False,False,False,False,not selected
98,utblac_wbs_0912a_duplicated,Llama 3.3 70B · 12 000 TPM,utblac_wbs,4,Arturo,358,22,23,61.452513966480446,Puntuación,"Puntuación — Coma (,)",utblac_wbs_0912a_duplicated,1,False,False,False,False,not selected
99,BP_CM_R481_071_2,Llama 3.3 70B · 12 000 TPM,bp_cm,3,Adriana,301,18,22,59.800664451827245,Cambios,Cambios — Sustitución,BP_CM_R481_071_2,1,False,False,False,False,not selected
100,utblac_gg_mss_g62_duplicated_03,Llama 3.3 70B · 12 000 TPM,utblac_gg,8,Flor,184,11,11,59.78260869565218,Cambios,Cambios — Sustitución,utblac_gg_mss_g62,4,True,False,False,False,not selected
101,utblac_gg_mss_g62_duplicated_15,Llama 3.3 70B · 12 000 TPM,utblac_gg,2,Paco,152,9,9,59.21052631578947,Acentuación,Acentuación — No sub-rule assigned,utblac_gg_mss_g62,4,True,False,False,False,not selected
102,AGI_INDIFERENTE_2065_N45_11,Llama 3.3 70B · 12 000 TPM,agi_indiferente,6,Alba,169,10,11,59.171597633136095,Cambios,Puntuación — No sub-rule assigned,AGI_INDIFERENTE_2065_N45_11,1,False,False,False,False,not selected
103,BnF_174_02,Llama 3.3 70B · 12 000 TPM,bnf_174,1,Javier,306,18,18,58.8235294117647,Abreviaturas,Abreviaturas — Expansión completa,BnF_174_02,1,False,False,False,False,not selected
104,BnF_110_13,Llama 3.3 70B · 12 000 TPM,bnf_110,3,Adriana,289,17,17,58.8235294117647,Cambios,Abreviaturas — Expansión completa | Cambios — Sustitución,BnF_110_13,1,False,False,False,False,not selected
105,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,Llama 3.3 70B · 12 000 TPM,agn_inquisicion,1,Javier,223,13,13,58.29596412556054,Abreviaturas,Abreviaturas — Expansión completa,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,1,False,False,False,False,not selected
106,AGN_Marina_v031A_exp02_fs85-92_11,Llama 3.3 70B · 12 000 TPM,agn_marina,3,Adriana,122,7,7,57.37704918032787,Filológicas - instrucciones,Filológicas - instrucciones — Regularización de labiales (b/v),AGN_Marina_v031A_exp02_fs85-92_11,1,False,False,False,False,not selected
107,UIA_Ms149_Exp3_43,Llama 3.3 70B · 12 000 TPM,uia_ms149,2,Paco,297,17,21,57.23905723905724,Cambios,Cambios — Inserción,UIA_Ms149_Exp3_43,1,False,False,False,False,not selected
108,BnF_111_21,Llama 3.3 70B · 12 000 TPM,bnf_111,8,Flor,494,27,27,54.655870445344135,Cambios,Abreviaturas — Expansión completa,BnF_111_21,1,False,False,False,False,not selected
109,AGN_Marina_v002_exp024_005,GPT OSS 120B · 8 000 TPM,agn_marina,8,Flor,110,6,6,54.54545454545454,Abreviaturas,Abreviaturas — No sub-rule assigned,AGN_Marina_v002_exp024_005,1,False,False,False,False,not selected
110,BnF_111_27,Llama 3.3 70B · 12 000 TPM,bnf_111,6,Alba,570,31,35,54.38596491228071,Cambios,Cambios — Sustitución,BnF_111_27,1,False,False,False,False,not selected
111,UIA_Ms149_Exp3_31,Llama 3.3 70B · 12 000 TPM,uia_ms149,6,Alba,282,15,16,53.191489361702125,Cambios,Cambios — Sustitución,UIA_Ms149_Exp3_31,1,False,False,False,False,not selected
112,AGN_Inquisicion_v1570A_exp134_fs159-160v_02,Llama 3.3 70B · 12 000 TPM,agn_inquisicion,3,Adriana,113,6,6,53.09734513274336,Cambios,Cambios — Sustitución,AGN_Inquisicion_v1570A_exp134_fs159-160v_02,1,False,False,False,False,not selected
113,utblac_gg_mss_g62_duplicated_09,Llama 3.3 70B · 12 000 TPM,utblac_gg,8,Flor,215,11,12,51.16279069767442,Cambios,Cambios — Deleción,utblac_gg_mss_g62,4,True,False,False,False,not selected
114,BnF_111_22,Llama 3.3 70B · 12 000 TPM,bnf_111,7,Paloma,569,29,36,50.966608084358526,Filológicas - instrucciones,Abreviaturas — Expansión completa | Filológicas - instrucciones — Regularización de H etimológica,BnF_111_22,1,False,False,False,False,not selected
115,AGN_IndiferenteVirreinal_caja4071_exp024_1,Llama 3.3 70B · 12 000 TPM,agn_indiferentevirreinal,9,Rodrigo,276,14,19,50.72463768115942,Abreviaturas | Cambios,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Deleción | Cambios — Sustitución",AGN_IndiferenteVirreinal_caja4071_exp024_1,1,False,False,False,False,not selected
116,BnF_174_04,Llama 3.3 70B · 12 000 TPM,bnf_174,7,Paloma,636,32,32,50.31446540880504,Cambios,Cambios — Deleción,BnF_174_04,1,False,False,False,False,not selected
117,BnF_266_10,Llama 3.3 70B · 12 000 TPM,bnf_266,8,Flor,800,40,48,50.0,Cambios,Cambios — Sustitución,BnF_266_10,1,False,False,False,False,not selected
118,BnF_244_03,Llama 3.3 70B · 12 000 TPM,bnf_244,4,Arturo,283,14,14,49.46996466431095,Puntuación,"Puntuación — Coma (,)",BnF_244_03,1,False,False,False,False,not selected
