summary_level,error_category,subrule,model,count,rate_per_1000_tokens,count_definition
subrule_by_model,Cambios,Inserción,Llama 3.3 70B · 12 000 TPM,247,5.8108076316841935,included_category_field_assignments
subrule_by_model,Cambios,No sub-rule assigned,GPT OSS 120B · 8 000 TPM,38,3.2612427051150017,included_category_field_assignments
subrule_by_model,Cambios,No sub-rule assigned,Llama 3.3 70B · 12 000 TPM,67,1.5762109770155506,included_category_field_assignments
subrule_by_model,Cambios,Otros,GPT OSS 120B · 8 000 TPM,112,9.612083762444216,included_category_field_assignments
subrule_by_model,Cambios,Otros,Llama 3.3 70B · 12 000 TPM,163,3.83466252617216,included_category_field_assignments
subrule_by_model,Cambios,Sustitución,GPT OSS 120B · 8 000 TPM,261,22.39958805355304,included_category_field_assignments
subrule_by_model,Cambios,Sustitución,Llama 3.3 70B · 12 000 TPM,745,17.526525042934104,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,No modificar otros idiomas,Llama 3.3 70B · 12 000 TPM,38,0.8939704048744913,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,No sub-rule assigned,GPT OSS 120B · 8 000 TPM,29,2.4888431170614487,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,No sub-rule assigned,Llama 3.3 70B · 12 000 TPM,4,0.0941021478815254,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,Regularización de H etimológica,GPT OSS 120B · 8 000 TPM,58,4.977686234122897,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,Regularización de H etimológica,Llama 3.3 70B · 12 000 TPM,40,0.9410214788152539,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,Regularización de i/y vocálicas,GPT OSS 120B · 8 000 TPM,107,9.182972880192242,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,Regularización de i/y vocálicas,Llama 3.3 70B · 12 000 TPM,37,0.87044486790411,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,Regularización de la nasal palatal,GPT OSS 120B · 8 000 TPM,12,1.0298661174047374,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,Regularización de labiales (b/v),GPT OSS 120B · 8 000 TPM,70,6.007552351527634,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,Regularización de labiales (b/v),Llama 3.3 70B · 12 000 TPM,69,1.6232620509563132,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,x sibilante → j,GPT OSS 120B · 8 000 TPM,44,3.7761757638173705,included_category_field_assignments
subrule_by_model,Filológicas - instrucciones,x sibilante → j,Llama 3.3 70B · 12 000 TPM,6,0.1411532218222881,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Adecuación de grafía labiovelar,GPT OSS 120B · 8 000 TPM,2,0.17164435290078958,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Adecuación de grafía labiovelar,Llama 3.3 70B · 12 000 TPM,2,0.0470510739407627,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,E protética,GPT OSS 120B · 8 000 TPM,3,0.25746652935118436,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,No sub-rule assigned,GPT OSS 120B · 8 000 TPM,8,0.6865774116031583,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,No sub-rule assigned,Llama 3.3 70B · 12 000 TPM,3,0.07057661091114405,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Regularización de la diéresis,GPT OSS 120B · 8 000 TPM,2,0.17164435290078958,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Regularización de la diéresis,Llama 3.3 70B · 12 000 TPM,3,0.07057661091114405,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Regularización de nasales ante labial,GPT OSS 120B · 8 000 TPM,5,0.4291108822519739,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Regularización de nasales ante labial,Llama 3.3 70B · 12 000 TPM,1,0.02352553697038135,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Regularización de sibilantes,GPT OSS 120B · 8 000 TPM,83,7.123240645382767,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Regularización de sibilantes,Llama 3.3 70B · 12 000 TPM,21,0.49403627637800834,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Regularización de vibrantes,GPT OSS 120B · 8 000 TPM,4,0.34328870580157916,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Regularización de vibrantes,Llama 3.3 70B · 12 000 TPM,3,0.07057661091114405,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Simplificación de grupos consonánticos,GPT OSS 120B · 8 000 TPM,9,0.772399588053553,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Simplificación de grupos consonánticos,Llama 3.3 70B · 12 000 TPM,3,0.07057661091114405,included_category_field_assignments
subrule_by_model,Filológicas - mecánicas,Simplificación de grupos vocálicos,GPT OSS 120B · 8 000 TPM,2,0.17164435290078958,included_category_field_assignments
subrule_by_model,Puntuación,"Coma (,)",GPT OSS 120B · 8 000 TPM,49,4.205286646069345,included_category_field_assignments
subrule_by_model,Puntuación,"Coma (,)",Llama 3.3 70B · 12 000 TPM,244,5.74023102077305,included_category_field_assignments
subrule_by_model,Puntuación,No sub-rule assigned,GPT OSS 120B · 8 000 TPM,39,3.3470648815653963,included_category_field_assignments
subrule_by_model,Puntuación,No sub-rule assigned,Llama 3.3 70B · 12 000 TPM,42,0.9880725527560167,included_category_field_assignments
subrule_by_model,Puntuación,Punto (.),GPT OSS 120B · 8 000 TPM,67,5.750085822176451,included_category_field_assignments
subrule_by_model,Puntuación,Punto (.),Llama 3.3 70B · 12 000 TPM,53,1.2468534594302116,included_category_field_assignments
