model,filename_stem,archive,reviewer_name,annotation_id,annotated_text,normalised_annotated_form,effective_error_category,effective_subrule,modernised_start,modernised_end,modernised_context,approximate_source_start,approximate_source_end,approximate_source_context,document_alignment_ratio,context_status,modernised_txt_path,pre_modernisation_txt_path
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1255,Teso,teso,Abreviaturas,Expansión completa,88,92,• Don Alonso de Oñate • En veinte y cuatro de octubre de mil y cientos Y noventa y ocho [[años]] se hace cargo al Teso Juan de Aranda de mil y cientos y siete pos seis to y cinco gros de oro común que…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1258,cientos,cientos,Cambios,Sustitución,117,124,…de Oñate • En veinte y cuatro de octubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Ju [[an de A]] randa de mil y cientos y siete pos seis to y cinco gros de oro común que Don Alonso de Oñate alcalde mayo…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1258,cientos,cientos,Abreviaturas,Expansión completa,117,124,…de Oñate • En veinte y cuatro de octubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Ju [[an de A]] randa de mil y cientos y siete pos seis to y cinco gros de oro común que Don Alonso de Oñate alcalde mayo…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1260,pos,pos,Abreviaturas,Expansión completa,133,136,…einte y cuatro de octubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Juan de Aranda de [[mil]] y cientos y siete pos seis to y cinco gros de oro común que Don Alonso de Oñate alcalde mayor que fue de…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1261,pos,pos,Abreviaturas,Expansión completa,540,543,…bre Y seis hasta trece de el do mes de el de noventa Y siete como Pare Por cierto de el contador Juan de [[Uri]] be Salazar iUD_vii pos 6to v Don Antonio de Figueroa • En treinta y uno de jul de mil y cientos Y noventa…,90,90,• don alonso de oñate • En vte y quatro de oTue de mill y quios Y noventa y ocho años se [[]] haze cargo al Thesso Joan de aranda de mill y quios y siete pos seis to y çinco gros de oro comund que do…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1266,to,to,Abreviaturas,Expansión completa,142,144,…uatro de octubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Juan de Aranda de mil y cie [[nt]] os y siete pos seis to y cinco gros de oro común que Don Alonso de Oñate alcalde mayor que fue de la vill…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1271,gros,gros,Abreviaturas,Expansión completa,153,157,…tubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Juan de Aranda de mil y cientos y siet [[e po]] s seis to y cinco gros de oro común que Don Alonso de Oñate alcalde mayor que fue de la villa de Calaya Y…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1273,pta,pta,Abreviaturas,Expansión completa,303,306,…on Alonso de Oñate alcalde mayor que fue de la villa de Calaya Y corregimiento de Orirapundaro metió en l [[a c]] aja de su madre en pta que fueron a su cargo del alcaba que cobró en los dos Partidos desde veinte de nov…,70,70,• don alonso de oñate • En vte y quatro de oTue de mill y quios Y nov [[]] enta y ocho años se haze cargo al Thesso Joan de aranda de mill y quios y siete pos seis to y çinco gros…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1275,noviembre,noviembre,Cambios,Sustitución,407,416,…la caja de su madre en pta que fueron a su cargo del alcaba que cobró en los dos Partidos desde veinte de [[noviembr]] e del año de noviembre Y seis hasta trece de el do mes de el de noventa Y siete como Pare Por cierto de e…,76,77,• don alonso de oñate • En vte y quatro de oTue de mill y quios Y noventa y [[]] ocho años se haze cargo al Thesso Joan de aranda de mill y quios y siete pos seis to y çinco gros de oro…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1276,do,do,Abreviaturas,Expansión completa,442,444,…on a su cargo del alcaba que cobró en los dos Partidos desde veinte de noviembre del año de noviembre Y s [[ei]] s hasta trece de el do mes de el de noventa Y siete como Pare Por cierto de el contador Juan de Uribe Sal…,79,79,• don alonso de oñate • En vte y quatro de oTue de mill y quios Y noventa y oc [[]] ho años se haze cargo al Thesso Joan de aranda de mill y quios y siete pos seis to y çinco gros de oro co…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1262,pos,pos,Abreviaturas,Expansión completa,126,129,…• En veinte y cuatro de octubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Juan de Ara [[nda]] de mil y cientos y siete pos seis to y cinco gros de oro común que Don Alonso de Oñate alcalde mayor que…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1263,pos,pos,Abreviaturas,Expansión completa,522,525,…del año de noviembre Y seis hasta trece de el do mes de el de noventa Y siete como Pare Por cierto de el [[co]] ntador Juan de Uribe Salazar iUD_vii pos 6to v Don Antonio de Figueroa • En treinta y uno de jul de mil y…,88,88,• don alonso de oñate • En vte y quatro de oTue de mill y quios Y noventa y ocho años s [[]] e haze cargo al Thesso Joan de aranda de mill y quios y siete pos seis to y çinco gros de oro comund que…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1267,to,to,Abreviaturas,Expansión completa,135,137,…nte y cuatro de octubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Juan de Aranda de mi [[l]] y cientos y siete pos seis to y cinco gros de oro común que Don Alonso de Oñate alcalde mayor que fue de…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1268,to,to,Abreviaturas,Expansión completa,529,531,…o de noviembre Y seis hasta trece de el do mes de el de noventa Y siete como Pare Por cierto de el contad [[or]] Juan de Uribe Salazar iUD_vii pos 6to v Don Antonio de Figueroa • En treinta y uno de jul de mil y cient…,89,89,• don alonso de oñate • En vte y quatro de oTue de mill y quios Y noventa y ocho años se [[]] haze cargo al Thesso Joan de aranda de mill y quios y siete pos seis to y çinco gros de oro comund que d…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1278,exor,exor,Abreviaturas,Expansión completa,268,272,…to y cinco gros de oro común que Don Alonso de Oñate alcalde mayor que fue de la villa de Calaya Y corre [[gimi]] ento de Orirapundaro metió en la caja de su madre en pta que fueron a su cargo del alcaba que cobró en lo…,67,68,• don alonso de oñate • En vte y quatro de oTue de mill y quios Y [[n]] oventa y ocho años se haze cargo al Thesso Joan de aranda de mill y quios y siete pos seis to y çinco gro…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1282,el,el,Cambios,Sustitución,279,281,…gros de oro común que Don Alonso de Oñate alcalde mayor que fue de la villa de Calaya Y corregimiento de [[O]] rirapundaro metió en la caja de su madre en pta que fueron a su cargo del alcaba que cobró en los dos Par…,68,68,• don alonso de oñate • En vte y quatro de oTue de mill y quios Y n [[]] oventa y ocho años se haze cargo al Thesso Joan de aranda de mill y quios y siete pos seis to y çinco gro…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1287,Rs,rs,Abreviaturas,Expansión completa,323,325,…lcalde mayor que fue de la villa de Calaya Y corregimiento de Orirapundaro metió en la caja de su madre e [[n]] pta que fueron a su cargo del alcaba que cobró en los dos Partidos desde veinte de noviembre del año de n…,71,71,• don alonso de oñate • En vte y quatro de oTue de mill y quios Y nove [[]] nta y ocho años se haze cargo al Thesso Joan de aranda de mill y quios y siete pos seis to y çinco gros d…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1289,jul,jul,Abreviaturas,Expansión completa,22,25,• Don Alonso de Oñate [[• E]] n veinte y cuatro de octubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Juan de Aranda…,22,26,• don alonso de oñate [[• E]] n vte y quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mi…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
